Año,Día,Canales,Kilos,peso promedio,Lomo,Pierna,Espaldilla,Tocino ch,Filete,Papada,Cabeza lomo,Total
2026,05/01/2026,"400","37,322",93.31,12.36%,19.58%,9.48%,11.84%,0.27%,0.00%,4.60%,58.13%
2026,06/01/2026,"200","18,521",92.61,12.13%,15.57%,10.79%,13.07%,0.47%,0.00%,4.95%,56.98%
2026,07/01/2026,"600","55,707",92.85,11.69%,16.95%,9.49%,11.54%,0.68%,0.00%,4.40%,54.74%
2026,09/01/2026,"325","30,301",93.23,7.85%,21.13%,10.83%,7.33%,0.38%,0.45%,5.34%,53.31%
2026,10/01/2026,"75","6,984",93.12,34.22%,0.00%,0.00%,31.59%,1.61%,0.00%,0.00%,67.42%
2026,13/01/2026,"200","18,658",93.29,36.01%,16.06%,9.73%,12.62%,0.62%,0.59%,4.63%,80.26%
2026,14/01/2026,"400","37,414",93.54,13.43%,16.29%,9.89%,12.05%,0.64%,0.00%,4.66%,56.97%
2026,15/01/2026,"549","50,416",91.83,10.73%,17.19%,10.00%,10.23%,0.54%,0.00%,4.70%,53.38%
2026,16/01/2026,"532","49,832",93.67,9.62%,18.11%,10.65%,9.99%,0.47%,0.00%,5.11%,53.94%
2026,17/01/2026,"119","11,204",94.15,29.56%,0.00%,0.00%,31.51%,1.29%,0.00%,0.00%,62.37%
2026,19/01/2026,"200","19,829",99.15,11.37%,16.28%,9.70%,13.19%,0.68%,0.00%,4.85%,56.06%
2026,20/01/2026,"200","19,903",99.52,11.61%,19.65%,10.30%,12.42%,0.57%,0.00%,4.92%,59.47%
2026,21/01/2026,"600","51,611",86.02,13.41%,16.41%,9.16%,12.04%,0.69%,0.00%,4.15%,55.86%
2026,22/01/2026,"200","18,512",92.56,12.54%,16.97%,9.25%,12.03%,0.44%,0.00%,4.37%,55.59%
2026,23/01/2026,"400","36,845",92.11,12.57%,19.50%,9.08%,11.74%,0.63%,0.38%,4.13%,58.03%
2026,24/01/2026,"200","17,213",86.06,11.88%,21.45%,8.99%,11.79%,0.43%,0.00%,4.43%,58.97%
2026,27/01/2026,"200","18,753",93.77,11.66%,17.12%,9.16%,12.42%,0.58%,0.75%,4.35%,56.03%
2026,28/01/2026,"400","37,133",92.83,11.36%,16.85%,9.30%,11.71%,0.55%,0.00%,4.43%,54.20%
2026,29/01/2026,"600","55,227",92.05,11.84%,16.71%,9.81%,12.15%,0.54%,0.00%,4.52%,55.58%
2026,30/01/2026,"600","55,808",93.01,12.45%,16.83%,10.36%,11.85%,0.51%,0.00%,4.44%,56.44%
2026,04/02/2026,"400","36,124",90.31,11.87%,17.49%,9.78%,11.84%,0.45%,0.00%,4.59%,56.01%
2026,05/02/2026,"526","48,401",92.02,9.38%,20.12%,11.36%,9.29%,0.41%,0.00%,5.11%,55.67%
2026,06/02/2026,"674","61,631",91.44,14.26%,14.76%,8.15%,14.76%,0.62%,0.23%,3.83%,56.61%
2026,07/02/2026,"200","18,670",93.35,11.31%,16.72%,9.94%,12.39%,0.44%,0.00%,4.12%,54.91%
2026,09/02/2026,"200","19,545",97.73,12.34%,19.26%,10.30%,12.51%,0.51%,0.00%,4.98%,59.89%
2026,10/02/2026,"200","18,966",94.83,11.92%,18.82%,9.27%,13.36%,0.00%,0.00%,4.48%,57.85%
2026,11/02/2026,"600","55,229",92.05,11.81%,17.30%,9.73%,12.11%,0.67%,0.00%,4.27%,55.89%
2026,12/02/2026,"400","37,175",92.94,10.53%,16.23%,9.69%,12.10%,0.59%,0.00%,4.22%,53.36%
2026,13/02/2026,"600","55,840",93.07,11.57%,16.57%,9.67%,12.09%,0.59%,0.25%,4.39%,55.13%
2026,17/02/2026,"200","20,000",100.0,11.51%,17.03%,9.52%,13.88%,0.00%,0.00%,4.58%,56.52%
