Año,Día,Kilos,Pierna 
2026,01/04/2026,"36,823.00",56.97%
2026,02/03/2026,"62,756.00",57.07%
2026,02/05/2026,"43,410.00",59.35%
2026,03/02/2026,"78,783.00",55.64%
2026,03/03/2026,"62,949.50",56.28%
2026,04/02/2026,"39,673.00",57.64%
2026,04/03/2026,"18,284.00",56.38%
2026,04/05/2026,"42,952.00",56.24%
2026,05/01/2026,"36,301.00",55.57%
2026,05/02/2026,"21,617.50",55.28%
2026,05/03/2026,"21,609.00",54.67%
2026,05/05/2026,"21,589.50",56.46%
2026,06/01/2026,"58,844.00",57.07%
2026,06/03/2026,"18,082.00",57.12%
2026,06/04/2026,"35,943.00",58.87%
2026,06/05/2026,"39,843.00",55.89%
2026,07/01/2026,"17,918.00",56.70%
2026,07/02/2026,"21,118.00",55.46%
2026,07/03/2026,"42,635.00",54.74%
2026,07/04/2026,"43,063.00",56.06%
2026,07/05/2026,"36,023.70",58.09%
2026,08/01/2026,"57,785.00",54.24%
2026,08/04/2026,"36,462.00",58.37%
2026,08/05/2026,"37,437.95",56.19%
2026,09/01/2026,"37,577.00",56.01%
2026,09/02/2026,"58,944.00",56.50%
2026,09/03/2026,"40,102.10",56.63%
2026,09/04/2026,"39,372.78",57.08%
2026,10/01/2026,"37,175.53",57.87%
2026,10/02/2026,"41,891.00",53.81%
2026,10/03/2026,"21,394.00",56.44%
2026,10/04/2026,"39,948.00",58.34%
2026,11/03/2026,"17,876.00",59.87%
2026,11/04/2026,"21,518.00",55.96%
2026,11/05/2026,"58,632.08",57.19%
2026,12/01/2026,"38,075.00",55.64%
2026,12/02/2026,"21,629.00",54.77%
2026,12/03/2026,"43,323.00",57.13%
2026,12/05/2026,"21,668.00",56.75%
2026,13/01/2026,"65,475.40",53.91%
2026,13/02/2026,"22,239.00",53.77%
2026,13/03/2026,"18,296.00",59.65%
2026,13/04/2026,"61,371.00",57.00%
2026,13/05/2026,"40,118.72",56.09%
2026,14/01/2026,"36,171.04",58.23%
2026,14/03/2026,"21,548.00",43.60%
2026,14/04/2026,"22,272.30",56.34%
2026,14/05/2026,"18,270.37",57.05%
2026,15/01/2026,"21,419.00",53.80%
2026,15/04/2026,"37,136.00",57.24%
2026,15/05/2026,"41,053.33",55.28%
2026,16/01/2026,"18,074.00",56.22%
2026,16/02/2026,"81,520.00",55.75%
2026,16/03/2026,"62,301.00",56.91%
2026,16/04/2026,"45,239.00",56.59%
2026,16/05/2026,"22,509.00",56.15%
2026,17/01/2026,"43,930.00",59.08%
2026,17/02/2026,"46,326.00",53.40%
2026,17/03/2026,"23,326.00",56.01%
2026,17/04/2026,"40,740.00",58.47%
2026,18/02/2026,"21,631.00",53.33%
2026,18/03/2026,"18,258.00",57.70%
2026,18/05/2026,"59,198.57",56.23%
2026,19/01/2026,"36,963.00",56.98%
2026,19/02/2026,"18,171.00",56.09%
2026,19/03/2026,"61,302.00",42.95%
2026,19/05/2026,"22,710.00",57.71%
2026,20/01/2026,"44,972.00",54.54%
2026,20/02/2026,"21,617.00",53.20%
2026,20/03/2026,"21,545.00",58.02%
2026,20/04/2026,"36,533.00",56.90%
2026,20/05/2026,"18,298.81",56.15%
2026,21/01/2026,"22,409.00",55.58%
2026,21/02/2026,"64,369.00",54.27%
2026,21/04/2026,"21,744.00",52.22%
2026,21/05/2026,"18,222.99",54.09%
2026,22/01/2026,"54,080.00",58.17%
2026,22/04/2026,"40,807.85",60.05%
2026,22/05/2026,"40,690.60",56.10%
2026,23/01/2026,"22,493.40",53.91%
2026,23/02/2026,"81,133.10",56.60%
2026,23/03/2026,"41,303.00",56.31%
2026,23/04/2026,"43,326.00",58.01%
2026,23/05/2026,"21,645.00",55.40%
2026,24/01/2026,"21,379.60",55.39%
2026,24/02/2026,"64,577.00",55.03%
2026,24/03/2026,"22,662.00",55.68%
2026,24/04/2026,"39,813.00",59.29%
2026,25/03/2026,"40,808.00",57.43%
2026,25/05/2026,"58,712.95",57.05%
2026,26/01/2026,"58,944.00",56.48%
2026,26/03/2026,"43,144.00",56.18%
2026,26/05/2026,"43,113.00",55.19%
2026,27/01/2026,"65,121.00",56.19%
2026,27/02/2026,"21,574.00",54.15%
2026,27/03/2026,"39,526.00",56.42%
2026,27/04/2026,"39,607.00",57.59%
2026,27/05/2026,"18,404.00",56.07%
2026,28/01/2026,"36,525.00",60.94%
2026,28/02/2026,"43,528.00",53.62%
2026,28/03/2026,"20,673.00",54.99%
2026,28/04/2026,"61,174.00",56.56%
2026,28/05/2026,"40,501.60",54.09%
2026,29/01/2026,"9,382.90",65.60%
2026,29/03/2026,"21,730.00",56.90%
2026,29/04/2026,"60,440.00",55.78%
2026,29/05/2026,"40,082.50",58.03%
2026,30/01/2026,"6,582.20",65.60%
2026,30/03/2026,"41,190.00",55.98%
2026,30/04/2026,"18,040.00",60.41%
2026,30/05/2026,"43,652.00",56.27%
2026,31/01/2026,"45,812.90",57.70%
2026,31/03/2026,"40,282.00",57.19%
2026,01/06/2026,"39,231.12",56.32%
2026,02/06/2026,"21,700.00",52.50%
2026,03/06/2026,"60,627.00",54.37%
2026,04/06/2026,"21,639.00",53.95%
2026,05/06/2026,"18,226.00",57.02%
2026,08/06/2026,"39,541.00",55.96%
2026,09/06/2026,"21,687.00",57.35%
2026,10/06/2026,"39,414.00",55.78%
2026,11/06/2026,"21,441.80",54.20%
2026,12/06/2026,"38,923.30",56.01%
2026,15/06/2026,"40,261.00",55.87%
2026,16/06/2026,"21,650.00",56.26%
2026,17/06/2026,"39,625.00",55.54%
2026,18/06/2026,"21,430.00",55.09%
2026,19/06/2026,"39,853.00",56.01%
2026,22/06/2026,"39,955.00",55.75%
2026,23/06/2026,"21,590.00",55.86%
