Año,Semana,Kilos,Pierna 
2025,36,"201,374.85",56.03%
2025,37,"180,758.29",49.02%
2025,38,"199,163.83",55.68%
2025,39,"214,349.36",54.54%
2025,40,"208,668.22",53.45%
2025,41,"187,400.26",55.05%
2025,42,"146,550.87",59.28%
2025,43,"147,641.11",58.58%
2025,44,"213,201.00",52.99%
2025,45,"220,791.27",55.93%
2025,46,"203,194.42",51.46%
2025,47,"200,021.20",56.25%
2025,48,"160,623.8",55.22%
2025,49,"124,180",57.42%
2025,50,"179,201",55.86%
2025,51,"222,148",54.81%
2025,52,"198,625.2",54.92%
2026,1,"174,790.25",55.14%
2026,2,"245,600.53",56.12%
2026,3,"223,144.44",56.10%
2026,4,"202,297",56.09%
2026,5,"222,368.0",58.04%
2026,6,"161,191.5",56.06%
2026,7,144703,55.04%
2026,8,253634,54.54%
